Date,Open,High,Low,Close,Adj Close,Volume
1998-10-27,527.799988,534.140015,521.400024,522.479980,522.479980,764500000
1998-10-28,522.479980,525.849976,519.640015,523.130005,523.130005,677500000
1998-10-29,523.130005,532.090027,521.679993,531.969971,531.969971,699400000
1998-10-30,531.969971,540.469971,531.969971,536.969971,536.969971,785000000
1998-11-02,536.969971,545.619995,536.969971,544.039978,544.039978,753800000
1998-11-03,544.039978,546.890015,541.599976,544.250000,544.250000,704300000
1998-11-04,544.250000,552.340027,543.880005,547.049988,547.049988,861100000
1998-11-05,547.049988,554.960022,543.109985,554.960022,554.960022,770200000
1998-11-06,554.960022,559.299988,553.979980,558.869995,558.869995,683100000
1998-11-09,558.869995,558.869995,550.150024,553.619995,553.619995,592990000
1998-11-10,553.619995,557.270020,550.859985,553.400024,553.400024,671300000
1998-11-11,553.400024,558.690002,548.760010,550.549988,550.549988,715700000
1998-11-12,550.549988,554.140015,547.710022,548.469971,548.469971,662300000
1998-11-13,548.469971,554.260010,548.369995,554.260010,554.260010,602270000
1998-11-16,554.260010,560.429993,554.260010,559.539978,559.539978,615580000
1998-11-17,559.539978,568.020020,556.739990,560.929993,560.929993,705200000
1998-11-18,560.929993,564.659973,558.739990,564.630005,564.630005,652510000
1998-11-19,564.630005,570.190002,564.630005,568.619995,568.619995,671000000
1998-11-20,568.619995,574.969971,568.619995,574.969971,574.969971,721200000
1998-11-23,574.969971,587.989990,574.630005,587.989990,587.989990,774100000
1998-11-24,587.989990,590.760010,584.830017,585.479980,585.479980,766200000
1998-11-25,585.479980,587.760010,582.890015,587.650024,587.650024,583580000
1998-11-27,587.650024,591.270020,587.000000,590.820007,590.820007,256950000
1998-11-30,590.820007,591.250000,577.190002,577.190002,577.190002,687900000
1998-12-01,577.190002,583.349976,570.380005,583.309998,583.309998,789200000
1998-12-02,583.309998,583.309998,572.679993,578.849976,578.849976,727400000
1998-12-03,578.849976,582.289978,566.640015,567.119995,567.119995,799100000
1998-12-04,567.119995,580.190002,567.119995,580.150024,580.150024,709700000
1998-12-07,580.150024,586.979980,579.900024,586.159973,586.159973,671200000
1998-12-08,586.159973,590.210022,579.460022,584.109985,584.109985,727700000
1998-12-09,584.109985,585.070007,579.890015,584.049988,584.049988,694200000
1998-12-10,584.049988,584.049988,573.799988,574.159973,574.159973,748600000
1998-12-11,574.159973,576.080017,567.919983,574.679993,574.679993,688900000
1998-12-14,574.679993,574.679993,560.520020,562.630005,562.630005,741800000
